iter	MAE
0	130398.7034
1	128949.6773
2	127566.4129
3	126301.2298
4	125060.5614
5	123876.3027
6	122843.0465
7	121870.5708
8	120871.0942
9	119926.9157
10	118884.3123
11	118056.1383
12	117117.5562
13	116251.4806
14	115475.3676
15	114494.452
16	113456.3507
17	112585.8117
18	111980.9195
19	111167.3025
20	110181.9442
21	109634.5232
22	109007.5931
23	108160.9321
24	107154.1822
25	106145.3659
26	105584.5371
27	104523.4206
28	103639.3023
29	102856.9728
30	102023.7977
31	101123.2105
32	100355.7507
33	99718.25787
34	99052.66933
35	98590.86747
36	98016.40283
37	97189.4724
38	96622.05854
39	95991.67478
40	95582.9808
41	95100.47664
42	94492.97537
43	94032.77527
44	93584.59428
45	93048.47421
46	92626.19119
47	92217.74294
48	91706.94897
49	91346.57098
50	90766.15341
51	90364.61115
52	89842.12643
53	89461.80208
54	89159.86347
55	88848.72248
56	88441.57465
57	88119.46316
58	87841.06991
59	87537.36426
60	87287.29727
61	86988.60801
62	86787.10788
63	86549.31668
64	86376.76268
65	86121.79996
66	85954.83932
67	85729.80767
68	85486.57281
69	85255.01985
70	85022.51361
71	84815.02299
72	84598.30518
73	84395.47587
74	84245.20692
75	84104.24951
76	83887.42438
77	83743.76812
78	83604.00471
79	83225.57735
80	83069.93713
81	82869.28129
82	82616.39311
83	82426.61759
84	82291.93834
85	82188.95304
86	82094.36781
87	81984.58511
88	81875.07729
89	81699.8644
90	81569.94998
91	81465.91316
92	81390.66725
93	81259.06493
94	81147.76099
95	81065.7943
96	80909.31308
97	80797.77545
98	80676.08382
99	80572.86336
100	80507.0798
101	80394.93375
102	80270.55291
103	80161.65701
104	80062.38854
105	80015.49954
106	79925.72118
107	79861.41891
108	79801.81434
109	79696.55593
110	79626.60701
111	79566.96974
112	79484.83193
113	79400.68277
114	79305.81461
115	79242.62366
116	79075.47976
117	79025.21654
118	78951.22024
119	78824.76651
120	78688.19132
121	78614.28345
122	78556.52667
123	78480.67758
124	78412.64291
125	78365.22612
126	78328.10837
127	78299.84313
128	78207.29973
129	78133.06737
130	78007.74407
131	77981.18072
132	77917.7601
133	77822.37402
134	77709.2926
135	77634.06765
136	77607.30401
137	77552.4368
138	77514.62638
139	77480.03939
140	77429.78601
141	77370.79229
142	77302.95731
143	77251.6407
144	77218.2149
145	77174.78293
146	77153.79681
147	77087.18999
148	76981.96702
149	76958.09956
150	76935.88201
151	76805.8855
152	76766.24885
153	76731.96353
154	76683.33933
155	76611.41806
156	76578.02283
157	76498.0671
158	76442.76234
159	76415.34533
160	76392.53955
161	76342.48503
162	76324.89547
163	76257.28454
164	76207.7862
165	76161.76223
166	76136.77458
167	76099.23808
168	76067.49544
169	75987.56804
170	75912.77714
171	75883.22014
172	75788.14535
173	75749.54039
174	75723.26419
175	75591.19589
176	75544.06213
177	75520.94378
178	75495.91955
179	75430.8209
180	75388.0797
181	75359.51021
182	75336.0167
183	75286.27041
184	75253.54494
185	75248.69145
186	75171.24398
187	75097.58991
188	75080.16105
189	75051.42756
190	75025.5302
191	74991.00439
192	74969.32806
193	74894.73259
194	74861.89958
195	74774.41346
196	74743.80624
197	74715.50852
198	74604.65686
199	74573.54438
200	74557.12797
201	74490.04577
202	74441.68549
203	74408.867
204	74336.7604
205	74279.76756
206	74247.07418
207	74178.99073
208	74170.01435
209	74105.17086
210	74065.56926
211	74037.27404
212	74002.36955
213	73934.31006
214	73865.84645
215	73838.19296
216	73807.99534
217	73751.2378
218	73729.05676
219	73682.95933
220	73649.96612
221	73624.57272
222	73571.46007
223	73506.56978
224	73485.02029
225	73451.85321
226	73432.54492
227	73396.98853
228	73360.73775
229	73326.79858
230	73293.77576
231	73211.9309
232	73199.59028
233	73176.58946
234	73169.93858
235	73111.31133
236	73069.883
237	73018.64239
238	72991.56497
239	72978.84367
240	72905.24843
241	72830.19895
242	72811.22756
243	72776.80527
244	72757.0791
245	72708.58948
246	72675.09274
247	72659.41285
248	72615.67136
249	72597.52202
250	72536.52687
251	72505.70034
252	72468.49706
253	72414.75684
254	72356.05193
255	72317.13214
256	72294.56072
257	72253.72273
258	72234.02555
259	72202.68281
260	72169.00467
261	72129.26452
262	72098.06925
263	72058.82333
264	72043.405
265	72010.98352
266	71938.42007
267	71913.6064
268	71896.06338
269	71862.26048
270	71842.8944
271	71830.61384
272	71789.8754
273	71766.92071
274	71719.06241
275	71700.93845
276	71691.40179
277	71649.37753
278	71634.73734
279	71611.39213
280	71535.89002
281	71530.77266
282	71518.35195
283	71487.14418
284	71474.60059
285	71461.77428
286	71433.13394
287	71402.66164
288	71367.81258
289	71345.27769
290	71326.49781
291	71307.74454
292	71251.41858
293	71243.61751
294	71227.26801
295	71207.68929
296	71198.73564
297	71182.87048
298	71147.15481
299	71104.73856
300	71086.76986
301	71070.3605
302	71050.40945
303	71008.20928
304	70987.47064
305	70965.44753
306	70938.63398
307	70913.46555
308	70885.36028
309	70862.61795
310	70837.41518
311	70824.42914
312	70800.44094
313	70782.85839
314	70764.71466
315	70735.21647
316	70717.14026
317	70707.15423
318	70700.06475
319	70680.35461
320	70623.08331
321	70602.89648
322	70571.56762
323	70552.09824
324	70514.30714
325	70498.80441
326	70489.54802
327	70457.46873
328	70436.86817
329	70402.55826
330	70394.42175
331	70378.84435
332	70352.81625
333	70334.65055
334	70298.24188
335	70286.13549
336	70257.63482
337	70247.71336
338	70228.46061
339	70217.03258
340	70205.31011
341	70197.40608
342	70180.76678
343	70168.31961
344	70156.52044
345	70114.90345
346	70105.37516
347	70089.75064
348	70066.3229
349	70040.54383
350	70029.51513
351	70005.61136
352	69989.33525
353	69965.57105
354	69941.03328
355	69906.77718
356	69881.1271
357	69859.99912
358	69818.04421
359	69795.18555
360	69789.90631
361	69756.7356
362	69707.39344
363	69696.69117
364	69685.84953
365	69658.60742
366	69645.03247
367	69617.03215
368	69605.31923
369	69582.42158
370	69552.93082
371	69531.78451
372	69513.83748
373	69497.91399
374	69465.88582
375	69432.19122
376	69418.93336
377	69391.93129
378	69376.26839
379	69366.09311
380	69360.96258
381	69345.44987
382	69321.20475
383	69308.82866
384	69297.73341
385	69279.08926
386	69269.65233
387	69259.515
388	69242.76897
389	69225.27342
390	69185.69813
391	69174.9689
392	69147.66952
393	69139.49407
394	69127.157
395	69084.93039
396	69073.13012
397	69062.50218
398	69023.98117
399	69001.25721
400	68994.73808
401	68953.28401
402	68942.85084
403	68928.92534
404	68921.21948
405	68917.40447
406	68898.99087
407	68876.79404
408	68865.59763
409	68851.11016
410	68838.05141
411	68808.26884
412	68780.45823
413	68749.71892
414	68736.09748
415	68711.10214
416	68687.91034
417	68632.39896
418	68593.27454
419	68586.51242
420	68579.29716
421	68571.68321
422	68559.08817
423	68537.59472
424	68510.78824
425	68505.61531
426	68483.87713
427	68472.91772
428	68453.91147
429	68434.4684
430	68427.1592
431	68405.79079
432	68370.90797
433	68355.46353
434	68345.27977
435	68335.65835
436	68309.05833
437	68300.4363
438	68295.36205
439	68290.63804
440	68280.72177
441	68250.40732
442	68229.57789
443	68207.92287
444	68199.33431
445	68180.63756
446	68143.67943
447	68112.0763
448	68106.40727
449	68085.6633
450	68034.11494
451	68010.95223
452	67999.72186
453	67985.81727
454	67975.59964
455	67963.89325
456	67957.09071
457	67936.98804
458	67921.90382
459	67902.08134
460	67892.95559
461	67884.15287
462	67863.81419
463	67825.19857
464	67808.2784
465	67792.81843
466	67784.10687
467	67773.67675
468	67751.3916
469	67745.11262
470	67728.70962
471	67700.73069
472	67678.99486
473	67629.88532
474	67617.51775
475	67596.42205
476	67583.02843
477	67569.39245
478	67561.94295
479	67550.90234
480	67542.9052
481	67540.83484
482	67523.40662
483	67513.78356
484	67504.02199
485	67492.52522
486	67477.5498
487	67467.11485
488	67446.02376
489	67445.73169
490	67421.92871
491	67414.90387
492	67396.99019
493	67380.75308
494	67373.07922
495	67363.41504
496	67350.29086
497	67342.93696
498	67326.55551
499	67321.57796
500	67314.41591
501	67303.012
502	67291.12682
503	67279.96581
504	67272.46424
505	67265.08428
506	67254.05332
507	67240.9732
508	67233.83397
509	67212.37082
510	67203.47956
511	67193.16729
512	67187.81987
513	67174.36028
514	67163.10692
515	67138.94474
516	67126.62367
517	67117.09354
518	67103.3546
519	67099.12379
520	67087.47151
521	67081.99869
522	67073.57599
523	67067.65905
524	67060.17701
525	67041.36038
526	67013.7924
527	67000.84979
528	66992.4223
529	66959.02337
530	66950.36319
531	66926.11556
532	66918.00037
533	66915.55429
534	66902.12394
535	66893.00851
536	66881.90581
537	66879.29012
538	66867.67536
539	66847.82037
540	66834.39128
541	66814.63934
542	66799.8701
543	66781.82835
544	66774.06507
545	66743.36807
546	66735.12375
547	66722.32142
548	66713.801
549	66708.71203
550	66693.80231
551	66670.19118
552	66653.37347
553	66642.18368
554	66629.13075
555	66612.89542
556	66600.67938
557	66592.19759
558	66583.29196
559	66576.00769
560	66562.61319
561	66549.42329
562	66542.57489
563	66533.37136
564	66524.9007
565	66499.86067
566	66490.83617
567	66485.90326
568	66479.85735
569	66474.42478
570	66457.83646
571	66445.61992
572	66432.19623
573	66422.82161
574	66419.70019
575	66408.84924
576	66403.42143
577	66380.47561
578	66368.67075
579	66358.25946
580	66339.2831
581	66320.78787
582	66311.3068
583	66301.92705
584	66288.70211
585	66278.54765
586	66247.62246
587	66243.33446
588	66228.6838
589	66214.19971
590	66203.3307
591	66198.08209
592	66191.24697
593	66185.80238
594	66178.80263
595	66153.43415
596	66145.31565
597	66125.06219
598	66119.24738
599	66107.04336
600	66091.29784
601	66085.16038
602	66070.82709
603	66061.14503
604	66055.75292
605	66047.26346
606	66029.57221
607	66017.53067
608	66005.45218
609	66000.83433
610	65992.29468
611	65983.88861
612	65976.23494
613	65956.42846
614	65942.44301
615	65925.01161
616	65921.80962
617	65918.77816
618	65908.63065
619	65896.03602
620	65885.43914
621	65873.0332
622	65871.20449
623	65858.98717
624	65853.63087
625	65848.08452
626	65840.38517
627	65836.38914
628	65827.21304
629	65815.86461
630	65786.85218
631	65782.97315
632	65777.0772
633	65770.34219
634	65754.36168
635	65746.02336
636	65731.46495
637	65726.23561
638	65719.49813
639	65701.46496
640	65693.2903
641	65686.15305
642	65678.34204
643	65673.99441
644	65667.28641
645	65662.4178
646	65657.863
647	65638.75109
648	65631.42243
649	65621.44044
650	65616.34294
651	65602.3769
652	65600.68049
653	65591.748
654	65576.77333
655	65565.79004
656	65557.52071
657	65524.55628
658	65514.58033
659	65506.14907
660	65499.24703
661	65485.12719
662	65477.90004
663	65470.00006
664	65463.87106
665	65457.16899
666	65445.93558
667	65423.76714
668	65416.51287
669	65403.99615
670	65394.70405
671	65389.34599
672	65380.0519
673	65377.63393
674	65363.29311
675	65334.03792
676	65320.57001
677	65311.10478
678	65305.9552
679	65295.2134
680	65287.42913
681	65276.83707
682	65264.71213
683	65260.24805
684	65254.37125
685	65245.90411
686	65241.78039
687	65222.13705
688	65207.43783
689	65204.19676
690	65199.98861
691	65188.7507
692	65179.52884
693	65171.17271
694	65146.37708
695	65133.83672
696	65125.00997
697	65117.89662
698	65113.83814
699	65096.4679
700	65075.20454
701	65059.40859
702	65053.42785
703	65038.45552
704	65036.60909
705	65025.85214
706	65017.70106
707	65007.91847
708	65002.44372
709	64993.748
710	64987.20865
711	64976.67054
712	64972.85558
713	64972.35217
714	64965.68611
715	64959.84312
716	64945.45607
717	64936.83892
718	64926.74645
719	64906.1464
720	64898.50415
721	64891.13945
722	64885.37067
723	64873.22011
724	64863.24139
725	64860.97097
726	64853.32932
727	64834.56136
728	64828.05456
729	64805.21104
730	64796.27553
731	64789.57048
732	64784.3874
733	64777.66209
734	64769.46653
735	64761.4613
736	64757.83617
737	64743.38181
738	64735.64356
739	64728.87215
740	64726.95353
741	64717.67283
742	64699.79386
743	64693.5603
744	64685.73431
745	64681.56333
746	64675.98234
747	64661.80054
748	64653.37042
749	64631.4435
750	64624.08209
751	64613.49312
752	64611.45085
753	64604.10404
754	64595.23031
755	64590.44075
756	64587.78333
757	64580.73809
758	64574.04253
759	64569.82203
760	64553.57226
761	64546.52774
762	64544.58131
763	64540.21306
764	64536.64485
765	64513.74379
766	64496.47723
767	64483.22486
768	64478.47966
769	64473.66038
770	64470.25586
771	64461.48631
772	64457.44707
773	64447.89387
774	64441.58457
775	64419.80834
776	64415.22228
777	64409.44222
778	64407.42241
779	64401.88941
780	64399.12768
781	64392.62379
782	64389.00019
783	64384.4463
784	64376.43206
785	64374.26285
786	64371.61895
787	64364.00237
788	64355.49732
789	64351.75293
790	64347.27359
791	64341.52344
792	64331.47194
793	64323.54603
794	64316.23294
795	64311.1992
796	64305.43248
797	64300.60755
798	64293.96552
799	64290.98415
800	64290.12512
801	64278.16787
802	64272.88493
803	64274.86008
804	64273.62636
805	64254.59547
806	64253.98816
807	64251.25927
808	64245.98229
809	64242.59457
810	64233.41849
811	64225.34064
812	64214.23733
813	64204.76835
814	64190.32065
815	64180.75697
816	64168.08504
817	64163.20218
818	64158.66435
819	64156.9203
820	64155.13861
821	64143.55734
822	64129.54794
823	64118.8788
824	64113.48802
825	64110.54456
826	64107.08108
827	64096.51676
828	64091.84672
829	64085.70902
830	64081.15299
831	64072.09459
832	64066.09276
833	64063.98904
834	64049.71796
835	64048.4684
836	64037.01762
837	64031.8041
838	64025.94046
839	64023.449
840	64014.97832
841	64009.89016
842	64004.48414
843	63996.94777
844	63990.27133
845	63984.71312
846	63982.05694
847	63958.23301
848	63953.94874
849	63944.7642
850	63942.25701
851	63938.86082
852	63934.52958
853	63924.93394
854	63919.98015
855	63912.11545
856	63896.17781
857	63861.76005
858	63838.77819
859	63824.70901
860	63818.67412
861	63816.80972
862	63812.48495
863	63806.61928
864	63789.09694
865	63778.01384
866	63774.08558
867	63770.69859
868	63756.80787
869	63753.57398
870	63743.01031
871	63738.81785
872	63731.88099
873	63725.42422
874	63717.42435
875	63714.01371
876	63710.40321
877	63704.80099
878	63697.28503
879	63692.34202
880	63686.28511
881	63663.29583
882	63656.37987
883	63652.79801
