iter	Passed	Remaining
0	97	195841
1	207	207351
2	303	201839
3	404	201696
4	510	203869
5	610	202837
6	729	207610
7	823	205000
8	934	206697
9	1028	204604
10	1162	210201
11	1290	213763
12	1414	216254
13	1531	217283
14	1665	220444
15	1794	222530
16	1913	223208
17	2012	221574
18	2122	221292
19	2219	219692
20	2313	217983
21	2413	216988
22	2527	217249
23	2638	217272
24	2757	217827
25	2862	217319
26	2979	217742
27	3121	219858
28	3246	220641
29	3367	221146
30	3489	221627
31	3627	223073
32	3735	222639
33	3837	221912
34	3933	220818
35	4037	220270
36	4177	221652
37	4294	221716
38	4410	221767
39	4527	221827
40	4685	223889
41	4808	224155
42	4913	223603
43	5032	223724
44	5150	223763
45	5248	222960
46	5360	222742
47	5468	222374
48	5580	222184
49	5685	221743
50	5785	221078
51	5878	220205
52	5980	219681
53	6077	219008
54	6179	218520
55	6306	218926
56	6431	219238
57	6549	219301
58	6691	220122
59	6814	220344
60	6953	221039
61	7091	221673
62	7197	221297
63	7330	221741
64	7451	221810
65	7584	222248
66	7694	221981
67	7801	221659
68	7893	220914
69	7997	220494
70	8085	219675
71	8174	218882
72	8266	218204
73	8361	217625
74	8455	217030
75	8568	216925
76	8698	217231
77	8811	217119
78	8905	216559
79	9012	216300
80	9120	216069
81	9249	216353
82	9359	216160
83	9470	216028
84	9582	215887
85	9693	215745
86	9788	215232
87	9882	214712
88	9971	214113
89	10062	213550
90	10149	212907
91	10242	212429
92	10323	211683
93	10422	211324
94	10523	211014
95	10616	210570
96	10717	210268
97	10821	210033
98	10923	209753
99	11017	209327
100	11121	209104
101	11226	208906
102	11334	208746
103	11438	208526
104	11531	208121
105	11646	208106
106	11775	208335
107	11902	208512
108	12021	208548
109	12138	208554
110	12272	208849
111	12422	209406
112	12575	210006
113	12742	210813
114	12865	210875
115	13007	211265
116	13205	212524
117	13405	213803
118	13575	214590
119	13765	215664
120	13942	216510
121	14136	217613
122	14307	218331
123	14480	219081
124	14617	219261
125	14766	219628
126	14943	220394
127	15107	220945
128	15255	221262
129	15400	221526
130	15516	221378
131	15670	221754
132	15815	222017
133	15954	222178
134	16111	222571
135	16282	223160
136	16446	223646
137	16588	223824
138	16766	224478
139	16889	224394
140	17021	224424
141	17174	224715
142	17347	225268
143	17491	225440
144	17626	225496
145	17759	225523
146	17885	225455
147	18020	225503
148	18164	225650
149	18322	225974
150	18469	226160
151	18658	226847
152	18845	227495
153	19036	228190
154	19225	228850
155	19372	228987
156	19524	229189
157	19686	229508
158	19837	229694
159	19967	229631
160	20093	229512
161	20207	229269
162	20326	229073
163	20414	228539
164	20512	228121
165	20613	227742
166	20739	227638
167	20909	228014
168	21097	228576
169	21254	228803
170	21414	229042
171	21562	229164
172	21701	229180
173	21840	229204
174	21968	229104
175	22107	229111
176	22254	229211
177	22407	229364
178	22533	229233
179	22692	229446
180	22843	229566
181	23030	230053
182	23228	230638
183	23412	231074
184	23585	231393
185	23727	231410
186	23861	231337
187	24020	231519
188	24176	231663
189	24357	232034
190	24497	232025
191	24673	232339
192	24825	232430
193	24981	232562
194	25134	232650
195	25278	232668
196	25419	232644
197	25568	232700
198	25711	232699
199	25859	232739
200	26007	232773
201	26180	233029
202	26305	232864
203	26457	232932
204	26613	233028
205	26763	233080
206	26934	233300
207	27075	233262
208	27240	233435
209	27393	233500
210	27566	233725
211	27738	233945
212	27919	234233
213	28049	234094
214	28202	234143
215	28325	233951
216	28467	233909
217	28639	234106
218	28807	234277
219	28970	234398
220	29134	234525
221	29256	234315
222	29359	233951
223	29460	233578
224	29628	233732
225	29765	233646
226	29899	233534
227	30013	233263
228	30125	232975
229	30215	232526
230	30315	232159
231	30404	231705
232	30513	231407
233	30628	231155
234	30757	231012
235	30878	230800
236	30994	230563
237	31110	230321
238	31229	230108
239	31345	229867
240	31452	229561
241	31558	229254
242	31658	228902
243	31745	228459
244	31839	228076
245	31937	227715
246	32038	227384
247	32130	226985
248	32230	226647
249	32323	226264
250	32406	225815
251	32508	225493
252	32597	225089
253	32693	224738
254	32805	224494
255	32909	224192
256	33006	223850
257	33125	223659
258	33226	223351
259	33348	223181
260	33456	222913
261	33609	222953
262	33745	222872
263	33879	222786
264	34014	222697
265	34148	222609
266	34285	222537
267	34398	222303
268	34490	221946
269	34609	221754
270	34725	221552
271	34838	221327
272	34956	221136
273	35080	220981
274	35184	220700
275	35302	220509
276	35445	220478
277	35564	220293
278	35670	220030
279	35791	219863
280	35921	219749
281	36041	219572
282	36138	219257
283	36244	218996
284	36345	218713
285	36455	218478
286	36551	218163
287	36663	217944
288	36767	217678
289	36914	217670
290	37038	217523
291	37173	217441
292	37313	217385
293	37425	217167
294	37515	216826
295	37621	216575
296	37739	216396
297	37839	216114
298	37973	216028
299	38103	215920
300	38214	215700
301	38329	215505
302	38440	215293
303	38550	215073
304	38650	214793
305	38749	214513
306	38871	214364
307	39018	214346
308	39121	214091
309	39220	213815
310	39332	213609
311	39452	213445
312	39569	213270
313	39677	213043
314	39777	212777
315	39915	212713
316	40029	212520
317	40138	212306
318	40246	212080
319	40370	211946
320	40491	211789
321	40627	211715
322	40750	211575
323	40869	211411
324	40986	211235
325	41107	211084
326	41232	210952
327	41316	210613
328	41436	210456
329	41580	210420
330	41732	210429
331	41887	210444
332	42014	210324
333	42133	210161
334	42248	209981
335	42371	209839
336	42472	209591
337	42599	209467
338	42724	209335
339	42852	209221
340	43011	209257
341	43156	209218
342	43273	209050
343	43405	208953
344	43527	208807
345	43653	208677
346	43780	208558
347	43874	208278
348	43971	208015
349	44097	207886
350	44198	207646
351	44285	207334
352	44398	207150
353	44500	206914
354	44616	206742
355	44737	206597
356	44852	206421
357	44943	206136
358	45031	205842
359	45138	205631
360	45236	205379
361	45326	205094
362	45416	204810
363	45496	204485
364	45593	204234
365	45703	204040
366	45798	203785
367	45896	203539
368	45992	203290
369	46099	203087
370	46190	202815
371	46279	202536
372	46371	202269
373	46465	202011
374	46552	201726
375	46644	201462
376	46775	201371
377	46888	201199
378	46987	200967
379	47111	200845
380	47213	200628
381	47328	200465
382	47451	200337
383	47580	200233
384	47718	200170
385	47830	199994
386	47927	199758
387	48019	199501
388	48099	199198
389	48185	198918
390	48298	198751
391	48387	198489
392	48468	198191
393	48596	198084
394	48710	197923
395	48822	197754
396	48931	197576
397	49047	197424
398	49164	197272
399	49269	197078
400	49389	196943
401	49504	196786
402	49641	196719
403	49753	196550
404	49847	196311
405	49942	196078
406	50039	195853
407	50127	195597
408	50227	195381
409	50345	195242
410	50440	195012
411	50521	194730
412	50615	194494
413	50707	194254
414	50809	194054
415	50911	193855
416	51026	193704
417	51154	193602
418	51263	193429
419	51376	193273
420	51472	193052
421	51579	192871
422	51675	192651
423	51770	192430
424	51853	192161
425	51955	191965
426	52036	191693
427	52130	191470
428	52222	191238
429	52324	191044
430	52430	190866
431	52527	190655
432	52629	190463
433	52724	190246
434	52821	190035
435	52932	189877
436	53020	189636
437	53103	189376
438	53194	189149
439	53308	189003
440	53457	188978
441	53607	188962
442	53756	188934
443	53855	188735
444	53948	188517
445	54033	188270
446	54127	188052
447	54216	187821
448	54333	187687
449	54436	187503
450	54539	187321
451	54638	187126
452	54741	186944
453	54837	186737
454	54934	186534
455	55023	186307
456	55126	186126
457	55217	185908
458	55334	185775
459	55439	185601
460	55541	185420
461	55659	185289
462	55757	185096
463	55882	184991
464	56006	184881
465	56121	184743
466	56224	184565
467	56338	184424
468	56451	184281
469	56542	184063
470	56637	183862
471	56732	183658
472	56827	183456
473	56920	183251
474	57012	183040
475	57107	182840
476	57197	182625
477	57290	182420
478	57396	182254
479	57529	182177
480	57640	182030
481	57751	181882
482	57857	181719
483	57950	181514
484	58039	181298
485	58164	181194
486	58278	181058
487	58404	180956
488	58531	180862
489	58633	180688
490	58740	180528
491	58830	180318
492	58919	180104
493	59008	179891
494	59131	179783
495	59229	179597
496	59342	179460
497	59423	179225
498	59518	179032
499	59625	178875
500	59727	178705
501	59824	178519
502	59923	178341
503	60016	178144
504	60120	177980
505	60224	177818
506	60334	177672
507	60444	177526
508	60537	177329
509	60628	177131
510	60736	176980
511	60853	176854
512	60957	176693
513	61065	176543
514	61187	176433
515	61292	176274
516	61379	176065
517	61496	175940
518	61609	175807
519	61714	175649
520	61815	175481
521	61940	175379
522	62044	175220
523	62139	175033
524	62236	174854
525	62330	174666
526	62435	174511
527	62567	174430
528	62706	174369
529	62831	174269
530	62955	174163
531	63060	174010
532	63174	173877
533	63294	173763
534	63410	173637
535	63535	173537
536	63673	173471
537	63810	173402
538	63941	173319
539	64055	173188
540	64180	173085
541	64300	172971
542	64432	172888
543	64527	172704
544	64628	172541
545	64737	172395
546	64843	172244
547	64954	172105
548	65071	171983
549	65236	171987
550	65371	171912
551	65515	171858
552	65630	171731
553	65736	171578
554	65832	171402
555	65939	171253
556	66064	171149
557	66172	171004
558	66275	170847
559	66381	170694
560	66500	170578
561	66662	170569
562	66784	170460
563	66885	170295
564	66980	170118
565	67096	169993
566	67221	169892
567	67366	169838
568	67495	169747
569	67617	169637
570	67738	169525
571	67858	169409
572	67982	169303
573	68104	169194
574	68232	169097
575	68366	169017
576	68496	168925
577	68597	168764
578	68714	168641
579	68814	168476
580	68932	168356
581	69018	168158
582	69109	167972
583	69201	167788
584	69294	167610
585	69416	167500
586	69510	167323
587	69622	167188
588	69730	167045
589	69835	166895
590	69921	166698
591	70017	166528
592	70122	166378
593	70229	166232
594	70354	166131
595	70467	166000
596	70560	165823
597	70665	165674
598	70776	165538
599	70891	165413
600	71000	165274
601	71124	165168
602	71217	164992
603	71329	164861
604	71462	164778
605	71576	164650
606	71685	164509
607	71782	164343
608	71875	164168
609	71975	164008
610	72073	163845
611	72153	163643
612	72235	163442
613	72330	163273
614	72438	163134
615	72535	162968
616	72632	162805
617	72741	162668
618	72837	162501
619	72929	162326
620	73050	162217
621	73144	162046
622	73249	161900
623	73374	161801
624	73468	161630
625	73559	161454
626	73655	161289
627	73773	161172
628	73867	161005
629	73960	160835
630	74057	160673
631	74146	160494
632	74252	160352
633	74370	160235
634	74480	160103
635	74601	159993
636	74717	159873
637	74839	159767
638	74965	159669
639	75100	159588
640	75243	159525
641	75378	159445
642	75491	159317
643	75621	159227
644	75786	159210
645	75917	159120
646	76059	159055
647	76209	159005
648	76352	158940
649	76470	158822
650	76634	158801
651	76757	158695
652	76874	158575
653	76979	158430
654	77095	158310
655	77231	158231
656	77351	158118
657	77465	157991
658	77584	157877
659	77711	157777
660	77831	157665
661	77956	157562
662	78073	157442
663	78215	157372
664	78302	157193
665	78385	157007
666	78478	156838
667	78586	156702
668	78718	156614
669	78841	156505
670	78930	156332
671	79051	156221
672	79177	156119
673	79288	155989
674	79383	155827
675	79471	155651
676	79564	155485
677	79688	155379
678	79790	155233
679	79899	155099
680	79983	154916
681	80077	154754
682	80167	154582
683	80261	154421
684	80361	154269
685	80445	154088
686	80537	153923
687	80616	153734
688	80732	153614
689	80823	153447
690	80921	153293
691	81010	153123
692	81111	152976
693	81226	152856
694	81352	152756
695	81479	152656
696	81602	152550
697	81707	152411
698	81819	152285
699	81909	152116
700	82011	151972
701	82096	151797
702	82185	151627
703	82284	151479
704	82384	151330
705	82483	151181
706	82576	151020
707	82695	150907
708	82822	150809
709	82922	150661
710	83031	150531
711	83125	150372
712	83225	150226
713	83381	150180
714	83492	150053
715	83593	149907
716	83707	149786
717	83817	149657
718	83929	149531
719	84021	149372
720	84130	149240
721	84221	149078
722	84312	148917
723	84423	148791
724	84534	148664
725	84627	148505
726	84715	148340
727	84820	148202
728	84912	148042
729	85034	147937
730	85156	147829
731	85263	147696
732	85361	147549
733	85461	147404
734	85558	147253
735	85650	147096
736	85746	146944
737	85851	146808
738	85939	146643
739	86042	146505
740	86185	146433
741	86313	146337
742	86429	146219
743	86546	146105
744	86641	145953
745	86722	145777
746	86814	145620
747	86921	145489
748	87018	145339
749	87113	145188
750	87211	145043
751	87304	144888
752	87391	144723
753	87484	144570
754	87579	144418
755	87688	144292
756	87802	144172
757	87887	144006
758	87990	143867
759	88100	143743
760	88231	143651
761	88342	143526
762	88462	143418
763	88577	143301
764	88685	143171
765	88796	143048
766	88875	142873
767	88964	142713
768	89052	142552
769	89149	142407
770	89232	142240
771	89321	142081
772	89433	141959
773	89542	141834
774	89643	141695
775	89759	141579
776	89873	141460
777	89981	141333
778	90071	141177
779	90163	141024
780	90253	140870
781	90343	140713
782	90444	140576
783	90580	140491
784	90707	140394
785	90837	140301
786	90938	140163
787	91048	140039
788	91148	139900
789	91238	139744
790	91327	139589
791	91432	139457
792	91539	139329
793	91662	139225
794	91788	139125
795	91883	138980
796	91998	138864
797	92097	138722
798	92205	138596
799	92318	138477
800	92413	138331
801	92547	138243
802	92643	138099
803	92735	137950
804	92838	137816
805	92941	137682
806	93039	137542
807	93135	137397
808	93249	137280
809	93348	137142
810	93453	137011
811	93567	136894
812	93674	136766
813	93765	136616
814	93870	136486
815	93968	136346
816	94078	136223
817	94179	136088
818	94296	135975
819	94415	135866
820	94511	135723
821	94616	135594
822	94704	135439
823	94837	135350
824	94962	135250
825	95110	135181
826	95240	135087
827	95344	134955
828	95477	134866
829	95605	134768
830	95711	134641
831	95857	134569
832	96000	134492
833	96115	134377
834	96231	134263
835	96361	134169
836	96492	134074
837	96606	133957
838	96727	133850
839	96852	133748
840	96962	133626
841	97077	133509
842	97178	133375
843	97277	133238
844	97376	133100
845	97481	132971
846	97602	132864
847	97716	132747
848	97839	132642
849	97974	132554
850	98086	132434
851	98205	132323
852	98320	132208
853	98438	132097
854	98547	131972
855	98648	131839
856	98764	131724
857	98890	131623
858	98998	131498
859	99112	131382
860	99235	131276
861	99333	131138
862	99459	131037
863	99586	130938
864	99707	130830
865	99870	130777
866	100023	130710
867	100169	130635
868	100307	130550
869	100440	130456
870	100567	130356
871	100697	130260
872	100833	130171
873	100959	130069
874	101102	129988
875	101222	129878
876	101331	129755
877	101446	129639
878	101568	129531
879	101694	129428
880	101823	129330
881	101925	129197
882	102038	129079
883	102139	128945
884	102230	128798
885	102331	128664
886	102450	128553
887	102550	128419
888	102674	128313
889	102799	128210
890	102925	128107
891	103031	127981
892	103155	127876
893	103284	127776
894	103376	127633
895	103488	127512
896	103578	127365
897	103683	127237
898	103811	127137
899	103917	127009
900	104008	126864
901	104092	126711
902	104179	126561
903	104288	126438
904	104374	126287
905	104462	126139
906	104569	126014
907	104688	125903
908	104834	125824
909	104978	125742
910	105116	125655
911	105224	125531
912	105333	125407
913	105435	125276
914	105531	125138
915	105647	125023
916	105761	124907
917	105878	124793
918	105994	124678
919	106110	124565
920	106202	124422
921	106323	124313
922	106426	124182
923	106529	124054
924	106625	123915
925	106757	123819
926	106876	123708
927	106984	123585
928	107077	123445
929	107192	123328
930	107289	123192
931	107422	123098
932	107522	122965
933	107658	122873
934	107766	122749
935	107875	122627
936	108027	122554
937	108147	122444
938	108252	122316
939	108365	122199
940	108475	122078
941	108589	121961
942	108699	121840
943	108817	121728
944	108933	121613
945	109036	121484
946	109133	121349
947	109232	121215
948	109330	121081
949	109427	120946
950	109541	120829
951	109654	120711
952	109766	120593
953	109873	120469
954	109972	120335
955	110108	120244
956	110226	120132
