feature,mean_abs_shap,mean_shap
turn_cur_cr_avg_act_v2,5871.771198874775,523.8362515615052
gender,5738.0004077945205,-193.98024028566854
salary_6to12m_avg,5453.212622125967,-2421.3720279154627
incomeValue,4765.302132428548,-246.98053255056882
hdb_outstand_sum,4003.1192313705483,-223.59172524730164
hdb_bki_active_cc_max_limit,2923.9568078261277,-21.70268324027657
turn_cur_db_avg_act_v2,2571.1221138016126,174.3053999950174
adminarea,2456.53999661572,20.76023112461965
turn_cur_db_avg_v2,1721.3400562175455,-270.2233959484063
age,1708.4496343971052,-134.1496747232535
avg_cur_cr_turn,1649.5545140264824,-251.00058984770783
turn_cur_cr_sum_v2,1607.4839492986225,29.509684111160045
by_category__amount__sum__eoperation_type_name__ishodjaschij_bystryj_platezh_sbp,1536.0084419320474,-430.12338496259264
dp_ils_avg_salary_1y,1492.3796794768189,176.96444339264065
dp_ils_paymentssum_avg_12m,1476.4407421335534,299.61251373310336
incomeValueCategory,1294.9201795263832,-5.184318857390682
turn_cur_cr_avg_v2,1271.823945184004,52.57871310024763
curr_rur_amt_cm_avg,1210.567187206303,141.49581966103023
hdb_bki_total_cc_max_limit,1146.9421168054284,-22.278077801261507
by_category__amount__sum__eoperation_type_name__vhodjaschij_bystryj_platezh_sbp,1075.8603798081542,-8.637687565117238
dp_ils_paymentssum_avg_6m,1021.1043667713383,92.43678930086314
turn_cur_cr_max_v2,954.3592482859168,224.68981708161044
hdb_bki_total_ip_cnt,930.9038711394431,3.507935510063685
hdb_other_outstand_sum,912.9730100963527,-52.686304553555054
turn_cur_cr_7avg_avg_v2,892.9621104863833,-54.591401422000835
avg_cur_db_turn,884.6520781043961,204.33694212731237
hdb_relend_active_max_psk,839.5916142786339,73.66843502368533
hdb_relend_outstand_sum,839.4470315877863,-236.97422773121073
dda_rur_amt_curr_v2,793.9606133957371,35.45107376206284
city_smart_name,771.712698581137,23.803867164241858
hdb_bki_total_pil_max_limit,765.2902165486757,24.975833466701086
dp_ils_paymentssum_avg_6m_current,765.0347464577178,82.29612565234872
avg_by_category__amount__sum__cashflowcategory_name__vydacha_nalichnyh_v_bankomate,756.2797221632842,-48.87994637566927
